ID bài viết,ID Trang,Tên Trang,Tiêu đề,Loại bài viết,Thời lượng (giây),Thời gian đăng,Nhãn tùy chỉnh,Trạng thái nội dung được tài trợ,Liên kết vĩnh viễn,Ngày,Lượt xem,Số người tiếp cận,Số người tiếp cận từ Bài viết tự nhiên,Số người tiếp cận từ Bài viết đã quảng cáo,Cảm xúc,Bình luận,Lượt chia sẻ,Tổng lượt click,Lượt click vào liên kết,Lượt xem video trong tối thiểu 3 giây,Lượt xem video trong tối thiểu 1 phút,Số Giây xem
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/06/2026,535,365,365,0,8,1,1,17,5,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/07/2026,404,276,276,0,6,0,1,13,4,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/08/2026,281,192,192,0,4,0,1,9,2,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/09/2026,195,133,133,0,3,0,0,6,2,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/10/2026,157,107,107,0,3,0,0,5,1,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/11/2026,105,72,72,0,2,0,0,3,1,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/12/2026,81,56,56,0,1,0,0,3,1,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/13/2026,59,40,40,0,1,0,0,2,1,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/14/2026,38,26,26,0,1,0,0,1,0,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/15/2026,24,16,16,0,0,0,0,1,0,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/16/2026,21,14,14,0,0,0,0,1,0,0,0,0
2399134656438024,100055500000001,KPIM Bank,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,Ảnh,0,01/06/2026 11:04,Q1|Product,,https://www.facebook.com/kpimbank/posts/2399134656438024,01/17/2026,15,10,10,0,0,0,0,1,0,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/13/2026,958,678,678,0,6,1,1,35,11,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/14/2026,719,509,509,0,4,0,1,27,8,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/15/2026,532,376,376,0,3,0,1,20,6,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/16/2026,345,244,244,0,2,0,1,13,4,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/17/2026,303,214,214,0,2,0,0,11,3,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/18/2026,194,137,137,0,1,0,0,7,2,0,0,0
2149679516196294,100055500000001,KPIM Bank,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,Ảnh,0,01/13/2026 18:07,Q1|Product,,https://www.facebook.com/kpimbank/posts/2149679516196294,01/19/2026,148,105,105,0,1,0,0,5,2,0,0,0
