asset_id,post_code,campaign_id,quarter,planned_publish_date,schedule_date,pillar_primary,format_source,format,funnel_stage,platform,on_facebook,on_youtube,title_draft,caption,media_link,cta_label,cta_type,approval_status,status,is_published,platform_native_id_fb,platform_native_id_yt,owner
P-Q3-01,P-Q3-01,CMP-2026-Q3,Q3,2026-07-06,2026-07-06,Product,Ảnh,fb_post,conversion,facebook,Y,N,KPIM Digital – ngân hàng số trong túi bạn,"KPIM Digital – ngân hàng số trong túi bạn. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q3/P-Q3-01.jpg,Tìm hiểu thêm,register,Approved,published,Y,3876540619270400,,Team Marketing KPIM Bank
P-Q3-02,P-Q3-02,CMP-2026-Q3,Q3,2026-07-12,2026-07-13,Product,Ảnh,fb_post,conversion,facebook,Y,N,"Gửi tiết kiệm online lãi suất cao hơn 0,3%","Gửi tiết kiệm online lãi suất cao hơn 0,3%. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q3/P-Q3-02.jpg,Tìm hiểu thêm,register,Approved,published,Y,7123584363080626,,Team Marketing KPIM Bank
P-Q3-03,P-Q3-03,CMP-2026-Q3,Q3,2026-07-17,2026-07-19,Education,Video,long_video,consumption,youtube,Y,Y,Vì sao tiết kiệm online lãi cao hơn quầy?,Vì sao tiết kiệm online lãi cao hơn quầy? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q3/P-Q3-03.mp4,Xem thêm,link_click,Approved,published,Y,6472006735562211,LevouzdQ-k2,Team Marketing KPIM Bank
P-Q3-04,P-Q3-04,CMP-2026-Q3,Q3,2026-07-24,24/07/2026,Education,Ảnh,fb_post,consumption,facebook,Y,N,Gửi góp mỗi ngày – thói quen tích lũy thông minh,Gửi góp mỗi ngày – thói quen tích lũy thông minh? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q3/P-Q3-04.jpg,Xem thêm,link_click,Approved,published,Y,6114302212578867,,Team Marketing KPIM Bank
P-Q3-05,P-Q3-05,CMP-2026-Q3,Q3,2026-07-28,2026-07-28,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Mở sổ tiết kiệm đầu tiên – nhận ngay quà tặng,"Mở sổ tiết kiệm đầu tiên – nhận ngay quà tặng! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-05.mp4,Đăng ký ngay,register,Approved,published,Y,3376353211288051,OL-XULLiKSC,Team Marketing KPIM Bank
P-Q3-05,P-Q3-05,CMP-2026-Q3,Q3,2026-07-28,2026-07-29,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Mở sổ tiết kiệm đầu tiên – nhận ngay quà tặng,"Mở sổ tiết kiệm đầu tiên – nhận ngay quà tặng! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-05.mp4,Đăng ký ngay,register,Approved,published,Y,3376353211288051,OL-XULLiKSC,Team Marketing KPIM Bank
P-Q3-06,P-Q3-06,CMP-2026-Q3,Q3,2026-08-02,2026-08-02,Promo,Ảnh,fb_post,business,facebook,Y,N,"Tải app KPIM Digital, nhận 50k vào tài khoản","Tải app KPIM Digital, nhận 50k vào tài khoản! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-06.jpg,Đăng ký ngay,register,Approved,published,Y,0501983200985459,,Team Marketing KPIM Bank
P-Q3-07,P-Q3-07,CMP-2026-Q3,Q3,2026-08-08,2026-08-08,Promo,Liên kết,fb_post,business,facebook,Y,N,Mở sổ tiết kiệm online chỉ với 100.000đ,"Mở sổ tiết kiệm online chỉ với 100.000đ! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-07.jpg,Đăng ký ngay,register,Approved,published,Y,4281725977271086,,Team Marketing KPIM Bank
P-Q3-08,P-Q3-08,CMP-2026-Q3,Q3,2026-08-14,2026-08-14,HowTo,Video,long_video,consumption,youtube,Y,Y,Mở sổ tiết kiệm online trong 2 phút,"Mở sổ tiết kiệm online trong 2 phút — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q3/P-Q3-08.mp4,Tải app KPIM,link_click,Approved,published,Y,7239705981442999,66_szTZ5E-d,Team Marketing KPIM Bank
P-Q3-09,P-Q3-09,CMP-2026-Q3,Q3,2026-08-20,2026-08-20,HowTo,Thước phim,fb_reel,consumption,youtube,Y,Y,Cài đặt gửi góp tự động trên app,"Cài đặt gửi góp tự động trên app — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q3/P-Q3-09.mp4,Tải app KPIM,link_click,Approved,published,Y,8838795878226067,oyItNATK2oS,Team Marketing KPIM Bank
P-Q3-10,P-Q3-10,CMP-2026-Q3,Q3,2026-08-24,2026-08-24,HowTo,Video,long_video,consumption,youtube,Y,Y,"Chuyển tiền, thanh toán hóa đơn ngay trên app","Chuyển tiền, thanh toán hóa đơn ngay trên app — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q3/P-Q3-10.mp4,Tải app KPIM,link_click,Approved,published,Y,4113569452229199,J0vdaITaOod,Team Marketing KPIM Bank
P-Q3-11,P-Q3-11,CMP-2026-Q3,Q3,2026-08-31,2026-09-01,Testimonial,Video,long_video,engagement,youtube,Y,Y,Bạn Trang tích lũy 30 triệu nhờ gửi góp mỗi ngày,"Bạn Trang tích lũy 30 triệu nhờ gửi góp mỗi ngày. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem câu chuyện. #KPIMBank #KhachHangKPIM",media/Q3/P-Q3-11.mp4,Xem câu chuyện,comment,Approved,published,Y,1831466142308577,0rc5ylb1IM5,Team Marketing KPIM Bank
P-Q3-12,P-Q3-12,CMP-2026-Q3,Q3,2026-09-03,2026-09-05,Education,Video,long_video,consumption,youtube,Y,Y,Lãi kép là gì và vì sao nên bắt đầu sớm,Lãi kép là gì và vì sao nên bắt đầu sớm? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q3/P-Q3-12.mp4,Xem thêm,link_click,Approved,published,Y,2061868948576237,QrAGN2_yVTN,Team Marketing KPIM Bank
P-Q3-13,P-Q3-13,CMP-2026-Q3,Q3,2026-09-09,2026-09-11,Product,Ảnh,fb_post,conversion,facebook,Y,N,Bảo mật sinh trắc học cho mọi giao dịch,"Bảo mật sinh trắc học cho mọi giao dịch. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q3/P-Q3-13.jpg,Tìm hiểu thêm,register,Approved,published,Y,5536564728223666,,Team Marketing KPIM Bank
P-Q3-14,P-Q3-14,CMP-2026-Q3,Q3,2026-09-15,2026-09-16,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Tuần lễ tiết kiệm số – lãi suất kịch trần,"Tuần lễ tiết kiệm số – lãi suất kịch trần! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-14.mp4,Đăng ký ngay,register,Approved,published,Y,8097306288017476,vo0Lfi0T_PI,Team Marketing KPIM Bank
P-Q3-15,P-Q3-15,CMP-2026-Q3,Q3,2026-09-22,2026-09-22,Brand,Ảnh,fb_post,discovery,facebook,Y,N,1 triệu người dùng tin chọn KPIM Digital,1 triệu người dùng tin chọn KPIM Digital. Cảm ơn bạn đã đồng hành cùng KPIM Bank. Theo dõi KPIM Bank. #KPIMBank,media/Q3/P-Q3-15.jpg,Theo dõi KPIM Bank,none,Approved,published,Y,3582044240907373,,Team Marketing KPIM Bank
P-Q3-16,P-Q3-16,CMP-2026-Q3,Q3,2026-09-07,2026-09-09,HowTo,Video,long_video,consumption,youtube,Y,Y,Mở sổ tiết kiệm online trong 3 phút,"Mở sổ tiết kiệm online trong 3 phút — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Xem hướng dẫn. #KPIMBank #HuongDanNhanh",,Xem hướng dẫn,link_click,Need Review,need_review,N,,,Team Marketing KPIM Bank
P-Q3-17,P-Q3-17,CMP-2026-Q3,Q3,2026-09-10,2026-09-10,Product,Ảnh,fb_post,conversion,facebook,Y,N,KPIM Digital: 5 việc làm được ngay trên app,"KPIM Digital: 5 việc làm được ngay trên app. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q3/P-Q3-17.jpg,Tìm hiểu thêm,register,Need Review,need_review,N,,,Team Marketing KPIM Bank
P-Q3-18,P-Q3-18,CMP-2026-Q3,Q3,2026-09-13,2026-09-15,Education,Video,long_video,consumption,youtube,Y,Y,Tiết kiệm online và tiết kiệm tại quầy khác nhau ra sao,Tiết kiệm online và tiết kiệm tại quầy khác nhau ra sao? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q3/P-Q3-18.mp4,Xem thêm,link_click,Approved,approved,N,,,Team Marketing KPIM Bank
P-Q3-19,P-Q3-19,CMP-2026-Q3,Q3,2026-09-16,2026-09-17,Promo,Thước phim,fb_reel,business,facebook,Y,N,Nạp app lần đầu – tặng 50.000đ vào ví,"Nạp app lần đầu – tặng 50.000đ vào ví! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q3/P-Q3-19.mp4,Đăng ký ngay,register,Approved,approved,N,,,Team Marketing KPIM Bank
P-Q3-20,P-Q3-20,CMP-2026-Q3,Q3,2026-09-19,2026-09-19,Testimonial,Ảnh,fb_post,engagement,facebook,Y,N,Bạn Trang gửi tiết kiệm mỗi tháng bằng app,"Bạn Trang gửi tiết kiệm mỗi tháng bằng app. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem thêm. #KPIMBank #KhachHangKPIM",,Xem thêm,comment,Need Review,need_review,N,,,Team Marketing KPIM Bank
