asset_id,post_code,campaign_id,quarter,planned_publish_date,schedule_date,pillar_primary,format_source,format,funnel_stage,platform,on_facebook,on_youtube,title_draft,caption,media_link,cta_label,cta_type,approval_status,status,is_published,platform_native_id_fb,platform_native_id_yt,owner
P-Q1-01,P-Q1-01,CMP-2026-Q1,Q1,2026-01-06,2026-01-08,Product,Ảnh,fb_post,conversion,facebook,Y,N,Ra mắt KPIM Cashback Card – hoàn tiền đến 8%,"Ra mắt KPIM Cashback Card – hoàn tiền đến 8%. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q1/P-Q1-01.jpg,Tìm hiểu thêm,register,Approved,published,Y,2399134656438024,,Team Marketing KPIM Bank
P-Q1-02,P-Q1-02,CMP-2026-Q1,Q1,2026-01-13,2026-01-13,Product,Ảnh,fb_post,conversion,facebook,Y,N,3 dòng thẻ Cashback cho 3 phong cách chi tiêu,"3 dòng thẻ Cashback cho 3 phong cách chi tiêu. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q1/P-Q1-02.jpg,Tìm hiểu thêm,register,Approved,published,Y,2149679516196294,,Team Marketing KPIM Bank
P-Q1-03,P-Q1-03,CMP-2026-Q1,Q1,2026-01-17,2026-01-19,Education,Video,long_video,consumption,youtube,Y,Y,Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào?,Hiểu đúng về hoàn tiền: hoàn tiền khác giảm giá thế nào? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q1/P-Q1-03.mp4,Xem thêm,link_click,Approved,published,Y,3081367811561413,bbEKz2LOgsS,Team Marketing KPIM Bank
P-Q1-04,P-Q1-04,CMP-2026-Q1,Q1,2026-01-24,2026-01-24,Education,Ảnh,fb_post,consumption,facebook,Y,N,5 nhóm chi tiêu được hoàn tiền cao nhất,5 nhóm chi tiêu được hoàn tiền cao nhất? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q1/P-Q1-04.jpg,Xem thêm,link_click,Approved,published,Y,9991301027931100,,Team Marketing KPIM Bank
P-Q1-05,P-Q1-05,CMP-2026-Q1,Q1,2026-01-27,27/01/2026,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Cà thẻ cuối tuần – hoàn tiền gấp đôi,"Cà thẻ cuối tuần – hoàn tiền gấp đôi! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q1/P-Q1-05.mp4,Đăng ký ngay,register,Approved,published,Y,9782644390640101,QWB-POKvoKP,Team Marketing KPIM Bank
P-Q1-06,P-Q1-06,CMP-2026-Q1,Q1,2026-02-02,2026-02-04,Promo,Ảnh,fb_post,business,facebook,Y,N,"Mở thẻ tháng này, miễn phí thường niên năm đầu","Mở thẻ tháng này, miễn phí thường niên năm đầu! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q1/P-Q1-06.jpg,Đăng ký ngay,register,Approved,published,Y,8477165785917248,,Team Marketing KPIM Bank
P-Q1-07,P-Q1-07,CMP-2026-Q1,Q1,2026-02-07,2026-02-07,Promo,Liên kết,fb_post,business,facebook,Y,N,Đăng ký KPIM Cashback Card online ngay hôm nay,"Đăng ký KPIM Cashback Card online ngay hôm nay! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q1/P-Q1-07.jpg,Đăng ký ngay,register,Approved,published,Y,0122212341662123,,Team Marketing KPIM Bank
P-Q1-08,P-Q1-08,CMP-2026-Q1,Q1,2026-02-12,2026-02-14,HowTo,Video,long_video,consumption,youtube,Y,Y,Mở thẻ online trong 5 phút với eKYC,"Mở thẻ online trong 5 phút với eKYC — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q1/P-Q1-08.mp4,Tải app KPIM,link_click,Approved,published,Y,2164179127990661,iym-gNPOHgz,Team Marketing KPIM Bank
P-Q1-09,P-Q1-09,CMP-2026-Q1,Q1,2026-02-18,2026-02-18,HowTo,Thước phim,fb_reel,consumption,youtube,Y,Y,Kích hoạt thẻ và cài đặt hạn mức trên app,"Kích hoạt thẻ và cài đặt hạn mức trên app — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q1/P-Q1-09.mp4,Tải app KPIM,link_click,Approved,published,Y,7570322020988031,uj028z75Pd0,Team Marketing KPIM Bank
P-Q1-10,P-Q1-10,CMP-2026-Q1,Q1,2026-02-23,2026-02-23,Testimonial,Video,long_video,engagement,youtube,Y,Y,"Chị Lan hoàn 1,2 triệu đồng chỉ trong tháng đầu","Chị Lan hoàn 1,2 triệu đồng chỉ trong tháng đầu. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem câu chuyện. #KPIMBank #KhachHangKPIM",media/Q1/P-Q1-10.mp4,Xem câu chuyện,comment,Approved,published,Y,5950605098925196,2wA3amquJri,Team Marketing KPIM Bank
