asset_id,post_code,campaign_id,quarter,planned_publish_date,schedule_date,pillar_primary,format_source,format,funnel_stage,platform,on_facebook,on_youtube,title_draft,caption,media_link,cta_label,cta_type,approval_status,status,is_published,platform_native_id_fb,platform_native_id_yt,owner
P-Q4-01,P-Q4-01,CMP-2026-Q4,Q4,2026-10-05,2026-10-05,Product,Ảnh,fb_post,conversion,facebook,Y,N,Tài khoản lương KPIM – miễn phí mọi giao dịch,"Tài khoản lương KPIM – miễn phí mọi giao dịch. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q4/P-Q4-01.jpg,Tìm hiểu thêm,register,Approved,published,Y,7794561112042953,,Team Marketing KPIM Bank
P-Q4-02,P-Q4-02,CMP-2026-Q4,Q4,2026-10-11,2026-10-11,Product,Ảnh,fb_post,conversion,facebook,Y,N,"Nhận lương qua KPIM, nhận ngàn ưu đãi","Nhận lương qua KPIM, nhận ngàn ưu đãi. KPIM Bank thiết kế sản phẩm này cho nhu cầu thật của bạn — xem đầy đủ quyền lợi, biểu phí và điều kiện áp dụng trước khi đăng ký. Tìm hiểu thêm. #KPIMBank #SanPhamKPIM",media/Q4/P-Q4-02.jpg,Tìm hiểu thêm,register,Approved,published,Y,2220056324625401,,Team Marketing KPIM Bank
P-Q4-03,P-Q4-03,CMP-2026-Q4,Q4,2026-10-17,2026-10-19,Education,Video,long_video,consumption,youtube,Y,Y,Quản lý chi tiêu Tết không vượt ngân sách,Quản lý chi tiêu Tết không vượt ngân sách? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q4/P-Q4-03.mp4,Xem thêm,link_click,Approved,published,Y,3294962086367279,UPlZd8EXCnC,Team Marketing KPIM Bank
P-Q4-04,P-Q4-04,CMP-2026-Q4,Q4,2026-10-23,2026-10-25,Education,Ảnh,fb_post,consumption,facebook,Y,N,Lập kế hoạch tài chính đón Tết an tâm,Lập kế hoạch tài chính đón Tết an tâm? Cùng KPIM Bank hiểu đúng trong 2 phút để không mất tiền oan vì hiểu nhầm. Xem thêm. #KPIMBank #HieuVeTien,media/Q4/P-Q4-04.jpg,Xem thêm,link_click,Approved,published,Y,6567556466851246,,Team Marketing KPIM Bank
P-Q4-05,P-Q4-05,CMP-2026-Q4,Q4,2026-10-28,2026-10-28,Promo,Thước phim,fb_reel,business,youtube,Y,Y,Mở tài khoản lương – lì xì ngay 100k,"Mở tài khoản lương – lì xì ngay 100k! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q4/P-Q4-05.mp4,Đăng ký ngay,register,Approved,published,Y,0856479830649889,hzHvpfyCtwb,Team Marketing KPIM Bank
P-Q4-06,P-Q4-06,CMP-2026-Q4,Q4,2026-11-03,2026-11-04,Promo,Ảnh,fb_post,business,facebook,Y,N,Ưu đãi Tết: hoàn tiền khi chi tiêu cuối năm,"Ưu đãi Tết: hoàn tiền khi chi tiêu cuối năm! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q4/P-Q4-06.jpg,Đăng ký ngay,register,Approved,published,Y,1511903075437366,,Team Marketing KPIM Bank
P-Q4-07,P-Q4-07,CMP-2026-Q4,Q4,2026-11-06,2026-11-08,Promo,Liên kết,fb_post,business,facebook,Y,N,Đăng ký tài khoản lương online trước Tết,"Đăng ký tài khoản lương online trước Tết! Ưu đãi có giới hạn theo ngân sách chương trình, điều kiện & điều khoản áp dụng. Đăng ký ngay. #KPIMBank #UuDaiKPIM",media/Q4/P-Q4-07.jpg,Đăng ký ngay,register,Approved,published,Y,6231426978539053,,Team Marketing KPIM Bank
P-Q4-08,P-Q4-08,CMP-2026-Q4,Q4,2026-11-13,2026-11-14,HowTo,Video,long_video,consumption,youtube,Y,Y,Nhận lương và rút tiền không cần thẻ,"Nhận lương và rút tiền không cần thẻ — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q4/P-Q4-08.mp4,Tải app KPIM,link_click,Approved,published,Y,8121642386975185,M9lxh7fsUXU,Team Marketing KPIM Bank
P-Q4-09,P-Q4-09,CMP-2026-Q4,Q4,2026-11-19,2026-11-20,HowTo,Thước phim,fb_reel,consumption,youtube,Y,Y,Lì xì online qua app chỉ với vài chạm,"Lì xì online qua app chỉ với vài chạm — làm theo từng bước dưới đây, chỉ mất vài phút và không cần ra quầy. Tải app KPIM. #KPIMBank #HuongDanNhanh",media/Q4/P-Q4-09.mp4,Tải app KPIM,link_click,Approved,published,Y,8351827270004813,mh89DNsiAJs,Team Marketing KPIM Bank
P-Q4-10,P-Q4-10,CMP-2026-Q4,Q4,2026-11-23,2026-11-25,Testimonial,Video,long_video,engagement,youtube,Y,Y,Doanh nghiệp X trả lương 200 nhân viên qua KPIM,"Doanh nghiệp X trả lương 200 nhân viên qua KPIM. Câu chuyện có thật từ khách hàng KPIM Bank, chia sẻ với sự đồng ý của chủ tài khoản. Xem câu chuyện. #KPIMBank #KhachHangKPIM",media/Q4/P-Q4-10.mp4,Xem câu chuyện,comment,Approved,published,Y,0882270633946347,WPudn-4A5UN,Team Marketing KPIM Bank
